,title,location,price,area
0,                        Apartment Hagedoornplein                            ,            1031 BV Amsterdam (Volewijck)        ,"                €2,995 per month            ",140 m²
1,                        Apartment Stadionweg 154 2                            ,            1077 TA Amsterdam (Apollobuurt)        ,"                €2,750 per month            ",111 m²
2,                        Apartment Buikslotermeerplein                            ,            1025 XE Amsterdam (Buikslotermeer)        ,"                €1,750 per month            ",50 m²
3,                        Project: Q-Residences | Quartz - APPARTEMENT H–E LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,550 - €1,675 per month            ",61 m²
4,                        Project: Q-Residences | Quartz - APPARTEMENT H–J LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,575 - €1,650 per month            ",62 m²
5,                        Project: Q-Residences | Quartz - APPARTEMENT H–F LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,950 - €2,000 per month            ",77 m²
6,                        Project: Q-Residences | Quartz - APPARTEMENT H–I LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €2,790 - €2,850 per month            ",107 m²
7,                        Project: Q-Residences | Quartz - APPARTEMENT H–F’ LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,950 - €2,000 per month            ",77 m²
8,                        Project: Q-Residences | Quartz - APPARTEMENT H–H LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,575 - €1,700 per month            ",64 m²
9,                        Project: Q-Residences | Quartz - APPARTEMENT H–B LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,350 per month            ",49 m²
10,                        Project: Q-Residences | Quartz - APPARTEMENT H–D LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,350 per month            ",49 m²
11,                        Project: Q-Residences | Quartz - APPARTEMENT H–G LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,900 - €1,925 per month            ",74 m²
12,                        Project: Q-Residences | Quartz - APPARTEMENT H–I’ LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €2,790 - €2,850 per month            ",107 m²
13,                        Project: Q-Residences | Quartz - APPARTEMENT H–G’ LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,900 - €1,925 per month            ",74 m²
14,                        Project: Q-Residences | Quartz - APPARTEMENT H–A’ LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,650 - €1,675 per month            ",68 m²
15,                        Project: Q-Residences | Quartz - APPARTEMENT H–D’ LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,350 per month            ",49 m²
16,                        Project: Q-Residences | Quartz - APPARTEMENT H-A LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,650 - €1,675 per month            ",68 m²
17,                        Apartment Krammerstraat                            ,            1078 KH Amsterdam (Scheldebuurt)        ,"                €2,695 per month            ",80 m²
18,                        Apartment Leidsekade                            ,            1016 CW Amsterdam (Jordaan)        ,"                €2,250 per month            ",105 m²
19,                        Apartment Borneolaan 352                            ,            1019 KL Amsterdam (Oostelijk Havengebied)        ,"                €1,650 per month            ",57 m²
20,                        Apartment Sarphatistraat 45 A                            ,            1018 EW Amsterdam (Weesperbuurt/Plantage)        ,"                €3,000 per month            ",96 m²
21,                        Project: The Hub Apartments - The Hub Apartments | Type T7                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €2,045 per month            ",75 m²
22,                        Project: The Hub Apartments - The Hub Apartments | Type T5                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,540 - €1,550 per month            ",58 m²
23,                        Project: The Hub Apartments - The Hub Apartments | Type T8                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,825 - €1,860 per month            ",64 m²
24,                        Project: The Hub Apartments - The Hub Apartments | Type T4                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,795 - €1,805 per month            ",63 m²
25,                        Project: The Hub Apartments - The Hub Apartments | Type T9                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,380 - €1,415 per month            ",52 m²
26,                        Project: The Hub Apartments - The Hub Apartments | Type T2                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,530 - €1,650 per month            ",59 m²
27,                        Project: The Hub Apartments - The Hub Apartments | Type T3                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,770 - €1,830 per month            ",63 m²
28,                        Project: The Hub Apartments - The Hub Apartments | Type T1                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,530 - €1,650 per month            ",58 m²
29,                        Project: The Hub Apartments - The Hub Apartments | Type T6                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,540 - €1,550 per month            ",59 m²
30,                        Project: The Hub Apartments - The Hub Apartments | Type T10                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,320 - €1,350 per month            ",47 m²
